ID,Name,Brand,Category,Barcode,Ingredients,NutriGuard Score,NutriGuard Grade,FVL_known,NNS,Algorithm,Score_low,Score_high,NS_robust,Grade_Range,NutriScore_Status
1,5 Star,Cadbury,Chocolates,7622202819384.0,"Sugar, Liquid Glucose, Milk Solids, Invert Sugar, Hydrogenated Vegetable Fat, Cocoa Solids, Emulsifiers (322,476), Flavouring Substances",23,D+,,False,general,27,32,E,E,Robust grade (invariant to unresolved FVL)
2,Amul 99% Cacao,Amul,Chocolates,8901262071864.0,"Cocoa Solids, Emulsifiers (322,476)",36,C-,,False,general,11,16,D,D,Robust grade (invariant to unresolved FVL)
3,Amul Bitter Chocolate,Amul,Chocolates,8901262070836.0,"Cocoa Solids, Sugar, Emulsifiers (322,476), Artificial Flavouring Substances (Cocoa,Vanilla)",29,D+,,False,general,18,23,,E/D,
4,Amul Buttermilk,Amul,Dairy Drinks,8901262200233.0,"Milk Solids, Common Salt, Spices & Condiments, INS 460(ii)",60,B,,False,beverage,-6,0,B,B,Robust grade (invariant to unresolved FVL)
5,Amul Dark Chocolate,Amul,Chocolates,8901262070676.0,"Cocoa Solids, Sugar, Cocoa Butter, Emulsifiers (322,476), Artificial Flavouring Substances (Cocoa,Vanilla)",26,D+,,False,general,23,28,E,E,Robust grade (invariant to unresolved FVL)
6,Amul Sugar Free Chocolate,Amul,Chocolates,8901262070324.0,"Cocoa Solids, Maltitol, Cocoa Butter, Emulsifiers (322,476), Artificial Flavouring Substances (Cocoa,Vanilla)",37,C-,,False,general,11,16,D,D,Robust grade (invariant to unresolved FVL)
7,Amul Taaza Milk,Amul,Milk,8901262260107.0,Milk,90,A+,,False,beverage,4,10,,E/D/C,
8,Amul Tricone,Amul,Ice Cream,8901262300568.0,"Chocolate Ice Cream, Milk Solids, Sugar, Cocoa Solids, Emulsifiers (471,322), Stabilizers (407,466,415,412), Cocoa Coating, Wafer Biscuit",34,C-,,False,general,14,19,,E/D,
9,Arokya Full Cream Milk,Arokya,Milk,8904057396166.0,"Milk, Milk Solids",93,A+,,False,beverage,-3,3,,C/B,
10,Arun Butterscotch,Arun,Ice Cream,8904057301467.0,"Milk Solids, Sugar, Liquid Glucose, Emulsifiers (471,477), Stabilizers (410,412), Artificial Butterscotch Flavour, Caramel Color (150d)",27,D+,,False,general,15,20,,E/D,
