Category,Count,MeanScore,MedianScore,SD,MeanN,MeanI,MeanP,MeanA
"Chocolates",11,26.181818181818183,26,6.431456783935997,13.636363636363637,34.72727272727273,94.54545454545455,72
"Dairy Drinks",3,61,60,1.7320508075688772,75.33333333333333,55,100,77.66666666666667
"Milk",3,91.66666666666667,92,1.5275252316519468,76.66666666666667,100,100,100
"Ice Cream",6,33.666666666666664,35,5.163977794943222,34.833333333333336,34.666666666666664,100,70.66666666666667
"Chips & Snacks",13,41.76923076923077,36,15.979955392896889,46.07692307692308,52.07692307692308,100,64.61538461538461
"Drinks",15,46.333333333333336,35,25.485756993344527,56.53333333333333,59.266666666666666,92.66666666666667,45.53333333333333
"Health Drinks",4,45,29,32,38.75,58.25,100,66.5
"Cream Biscuits",5,19.2,19,4.08656334834051,12.6,19.8,92,38.4
"Biscuits",13,24.846153846153847,25,5.336137083542642,25.846153846153847,27.46153846153846,93.84615384615384,40.30769230769231
"Milkshakes",7,34,36,4.47213595499958,37.714285714285715,44.142857142857146,98.57142857142857,60.142857142857146
"Dry Fruits & Nuts",3,72.33333333333333,89,29.737742572921256,61.333333333333336,81,100,89
"Seeds",5,88.4,89,1.9493588689617927,67.4,100,100,100
"Muesli & Cereals",8,39.875,41,3.090885217631258,44.625,53.25,90,82.875
"Protein Bars",4,40.5,40.5,3.872983346207417,45.25,53.25,100,80.25
