ProductID,OriginalScore,CounterfactualScore,ScoreImprovement,OriginalGrade,CounterfactualGrade,Iterations,DominantFactor
"1",23,30,7,D+,C-,20,addedSugar
"2",36,40,4,C-,C,7,saturatedFat
"3",29,30,1,D+,C-,2,addedSugar
"5",26,30,4,D+,C-,11,addedSugar
"6",37,40,3,C-,C,6,saturatedFat
"10",27,30,3,D+,C-,6,addedSugar
"11",28,30,2,D+,C-,5,addedSugar
"12",36,40,4,C-,C,7,saturatedFat
"14",29,30,1,D+,C-,3,totalSugar
"15",26,30,4,D+,C-,9,addedSugar
"16",25,30,5,D+,C-,9,addedSugar
"17",24,30,6,D+,C-,10,addedSugar
"18",18,20,2,D,D+,6,addedSugar
"19",19,20,1,D,D+,2,addedSugar
"20",21,30,9,D+,C-,15,addedSugar
"21",29,30,1,D+,C-,3,addedSugar
"23",26,30,4,D+,C-,7,addedSugar
"24",25,30,5,D+,C-,9,addedSugar
"25",15,20,5,D,D+,10,addedSugar
"26",16,20,4,D,D+,9,addedSugar
"27",16,20,4,D,D+,9,addedSugar
"30",16,20,4,D,D+,10,addedSugar
"31",37,40,3,C-,C,6,addedSugar
"35",29,30,1,D+,C-,3,addedSugar
"39",89,90,1,A,A+,4,saturatedFat
"40",87,90,3,A,A+,8,saturatedFat
"41",89,90,1,A,A+,2,calories
"42",29,30,1,D+,C-,3,addedSugar
"44",28,30,2,D+,C-,5,addedSugar
"45",27,30,3,D+,C-,6,addedSugar
"46",29,30,1,D+,C-,3,totalSugar
"47",38,40,2,C-,C,5,addedSugar
"49",38,40,2,C-,C,4,addedSugar
"50",36,40,4,C-,C,8,saturatedFat
"52",36,40,4,C-,C,7,saturatedFat
"53",36,40,4,C-,C,9,saturatedFat
"54",38,40,2,C-,C,4,saturatedFat
"56",27,30,3,D+,C-,7,saturatedFat
"57",37,40,3,C-,C,6,saturatedFat
"59",36,40,4,C-,C,10,addedSugar
"60",37,40,3,C-,C,6,addedSugar
"61",55,60,5,C+,B,14,saturatedFat
"63",63,70,7,B,B+,20,sodium
"69",26,30,4,D+,C-,12,addedSugar
"71",23,30,7,D+,C-,20,addedSugar
"72",19,20,1,D,D+,4,addedSugar
"73",28,30,2,D+,C-,7,addedSugar
"79",33,40,7,C-,C,11,addedSugar
"80",83,90,7,A,A+,17,totalSugar
"82",26,30,4,D+,C-,7,addedSugar
"83",19,20,1,D,D+,4,addedSugar
"91",86,90,4,A,A+,9,saturatedFat
"92",89,90,1,A,A+,3,saturatedFat
"93",39,40,1,C-,C,3,addedSugar
"96",36,40,4,C-,C,7,addedSugar
