product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
1,"5 Star","Chocolates",child,4,2,26,90,81,12,D,10,addedSugar,false,"sugar_split"
1,"5 Star","Chocolates",teen,4,9,26,90,81,25,D+,0,addedSugar,false,"sugar_split"
1,"5 Star","Chocolates",adult,4,5,26,90,81,23,D+,0,addedSugar,false,"sugar_split"
1,"5 Star","Chocolates",elderly,4,5,26,90,81,23,D+,0,addedSugar,false,"sugar_split"
2,"Amul 99% Cacao","Chocolates",child,4,25,46,100,81,23,D+,10,saturatedFat,false,""
2,"Amul 99% Cacao","Chocolates",teen,4,42,46,100,81,39,C-,0,saturatedFat,false,""
2,"Amul 99% Cacao","Chocolates",adult,4,34,46,100,81,36,C-,0,saturatedFat,false,""
2,"Amul 99% Cacao","Chocolates",elderly,4,34,46,100,81,36,C-,0,saturatedFat,false,""
3,"Amul Bitter Chocolate","Chocolates",child,4,11,34,100,81,27,D+,0,addedSugar,false,""
3,"Amul Bitter Chocolate","Chocolates",teen,4,28,34,100,81,33,C-,0,addedSugar,false,""
3,"Amul Bitter Chocolate","Chocolates",adult,4,18,34,100,81,29,D+,0,addedSugar,false,""
3,"Amul Bitter Chocolate","Chocolates",elderly,4,19,34,100,81,30,C-,0,addedSugar,false,""
4,"Amul Buttermilk","Dairy Drinks",child,3,72,51,100,75,59,C+,0,transFat,false,""
4,"Amul Buttermilk","Dairy Drinks",teen,3,82,51,100,75,62,B,0,transFat,false,""
4,"Amul Buttermilk","Dairy Drinks",adult,3,77,51,100,75,60,B,0,transFat,false,""
4,"Amul Buttermilk","Dairy Drinks",elderly,3,77,51,100,75,60,B,0,transFat,false,""
5,"Amul Dark Chocolate","Chocolates",child,4,4,34,100,81,14,D,10,addedSugar,false,""
5,"Amul Dark Chocolate","Chocolates",teen,4,14,34,100,81,28,D+,0,addedSugar,false,""
5,"Amul Dark Chocolate","Chocolates",adult,4,7,34,100,81,26,D+,0,addedSugar,false,""
5,"Amul Dark Chocolate","Chocolates",elderly,4,8,34,100,81,26,D+,0,addedSugar,false,""
6,"Amul Sugar Free Chocolate","Chocolates",child,4,27,42,100,81,33,C-,0,saturatedFat,false,""
6,"Amul Sugar Free Chocolate","Chocolates",teen,4,45,42,100,81,40,C,0,saturatedFat,false,""
6,"Amul Sugar Free Chocolate","Chocolates",adult,4,36,42,100,81,37,C-,0,saturatedFat,false,""
6,"Amul Sugar Free Chocolate","Chocolates",elderly,4,36,42,100,81,37,C-,0,saturatedFat,false,""
7,"Amul Taaza Milk","Milk",child,1,68,100,100,100,89,A,0,saturatedFat,false,""
7,"Amul Taaza Milk","Milk",teen,1,76,100,100,100,92,A+,0,saturatedFat,false,""
7,"Amul Taaza Milk","Milk",adult,1,72,100,100,100,90,A+,0,saturatedFat,false,""
7,"Amul Taaza Milk","Milk",elderly,1,72,100,100,100,90,A+,0,saturatedFat,false,""
8,"Amul Tricone","Ice Cream",child,4,26,40,100,65,30,C-,0,saturatedFat,false,"amplified_exposure_category"
8,"Amul Tricone","Ice Cream",teen,4,46,40,100,65,37,C-,0,saturatedFat,false,"amplified_exposure_category"
8,"Amul Tricone","Ice Cream",adult,4,36,40,100,65,34,C-,0,saturatedFat,false,"amplified_exposure_category"
8,"Amul Tricone","Ice Cream",elderly,4,37,40,100,65,34,C-,0,saturatedFat,false,"amplified_exposure_category"
9,"Arokya Full Cream Milk","Milk",child,1,78,100,100,100,92,A+,0,totalSugar,false,""
9,"Arokya Full Cream Milk","Milk",teen,1,84,100,100,100,94,A+,0,totalSugar,false,""
9,"Arokya Full Cream Milk","Milk",adult,1,81,100,100,100,93,A+,0,totalSugar,false,""
9,"Arokya Full Cream Milk","Milk",elderly,1,81,100,100,100,93,A+,0,totalSugar,false,""
